rank,company,overal_rank,city,state,year_founded,employees,primary_service,total_megawatts_installed,total_megawatts_2014
1,SolarCity,3,San Mateo,California,2006,10000,Rooftop Contractor,1100,502
2,Vivint Solar,16,Lehi,Utah,2011,3289,Developer,228,155
3,Sunnova,42,Houston,Texas,2013,175,Developer,45,26.092
4,RGS Energy,54,Louisville,Colorado,1978,200,Developer,325,17.044
5,Solar Universe,55,Livermore,California,2008,600,Rooftop Contractor,46,17
6,Bland Solar & Air,62,Bakersfield,California,1985,55,Rooftop Contractor,63,14.22
7,Amergy Solar,67,Piscataway,New Jersey,2010,70,Developer,30,12
8,Smart Energy Solar,68,Corona,California,2005,140,Rooftop Contractor,20,11.92
9,KDH Solar,69,New Orleans,Louisiana,2011,27,Rooftop Contractor,26,11.6
10,Direct Energy Solar,71,Annapolis Junction,Maryland,2008,500,Rooftop Contractor,40,11.2
